Company name,Image path,Top-left coord,Bottom-Right coord,Cookies ?
Delta,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\delta.png,-,-,False
Deutschebahn,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\deutschebahn.png,-,-,False
Dfmc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\dfmc.png,-,-,False
Dior-finance,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\dior-finance.png,-,-,False
Dollargeneral,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\dollargeneral.png,-,-,False
Dow,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\dow.png,"(662, 150)","(946, 176)",True
Dpdhl,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\dpdhl.png,-,-,False
Dsv,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\dsv.png,"(697, 393)","(1037, 429)",True
Dzbank,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\dzbank.png,-,-,False
Edf,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\edf.png,-,-,False
Ejianlong,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ejianlong.png,-,-,False
Elevancehealth,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\elevancehealth.png,-,-,False
Enbw,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\enbw.png,-,-,False
Enel,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\enel.png,"(13, 945)","(1517, 965)",True
Energytransfer,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\energytransfer.png,-,-,False
Engie,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\engie.png,"(709, 1013)","(945, 1033)",True
Eni,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\eni.png,"(610, 932)","(940, 964)",True
Enterpriseproducts,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\enterpriseproducts.png,-,-,False
Eon,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\eon.png,-,-,False
Equinor,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\equinor.png,"(678, 180)","(988, 210)",True
Exeloncorp,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\exeloncorp.png,-,-,False
Exor,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\exor.png,-,-,False
Exxonmobil,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\exxonmobil.png,"(663, 151)","(811, 165)",True
Fanniemae,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\fanniemae.png,"(31, 1021)","(163, 1035)",True
Fb,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\fb.png,"(630, 398)","(1182, 430)",True
Fedex,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\fedex.png,-,-,False
Finatis,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\finatis.png,-,-,False
Ford,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ford.png,-,-,False
Fortum,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\fortum.png,"(649, 410)","(1254, 463)",True
Foxconn,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\foxconn.png,-,-,False
