Name,Image-path,Result,Pattern list
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/delltechnologies,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/delltechnologies.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/delta,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/delta.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/deutschebahn,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/deutschebahn.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/dfmc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/dfmc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/dior-finance,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/dior-finance.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/dollargeneral,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/dollargeneral.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/dow,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/dow.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/dpdhl,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/dpdhl.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/dsv,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/dsv.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/dzbank,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/dzbank.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/edf,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/edf.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/ejianlong,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/ejianlong.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/elevancehealth,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/elevancehealth.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/enbw,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/enbw.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/enel,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/enel.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/energytransfer,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/energytransfer.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/engie,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/engie.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/eni,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/eni.png,False,[]
