Company name,Image path,Top-left coord,Bottom-Right coord
Statestreet,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\statestreet.png,"(1504, 243)","(1939, 263)"
Stonex,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\stonex.png,"(1713, 276)","(2202, 290)"
Svb,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\svb.png,"(1614, 278)","(1899, 303)"
Ta-petro,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ta-petro.png,"(141, 2006)","(402, 2030)"
Tdsynnex,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\tdsynnex.png,"(28, 2006)","(177, 2023)"
Textron,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\textron.png,"(378, 1997)","(965, 2017)"
Thehersheycompany,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\thehersheycompany.png,"(2260, 1913)","(2322, 1927)"
Theice,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\theice.png,"(3507, 5)","(3555, 14)"
Thermofisher,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\thermofisher.png,"(30, 1892)","(432, 1916)"
Thorindustries,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\thorindustries.png,"(31, 1976)","(186, 1996)"
Ti,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ti.png,"(1609, 993)","(1763, 1010)"
Tollbrothers,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\tollbrothers.png,"(100, 1937)","(153, 1951)"
Tysonfoods,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\tysonfoods.png,"(118, 1994)","(986, 2014)"
Ufpi,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ufpi.png,"(1686, 58)","(2125, 78)"
Ulta,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ulta.png,"(1612, 226)","(2077, 240)"
Unfi,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\unfi.png,"(3407, 2000)","(3588, 2014)"
Unitedhealthgroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\unitedhealthgroup.png,"(31, 22)","(284, 36)"
